Phase  Observation
  -92.5000      0.4341
  -90.5000      0.4301
  -89.5000      0.4256
  -88.5000      0.4376
  -87.5000      0.4516
  -83.5000      0.4185
  -81.5000      0.4210
  -80.5000      0.4261
  -79.5000      0.4198
  -78.5000      0.4304
  -77.5000      0.4372
  -71.5000      0.4042
  -68.5000      0.4126
  -67.5000      0.4129
  -66.5000      0.4055
  -65.5000      0.4185
  -64.5000      0.4254
  -56.5000      0.4049
  -55.5000      0.3997
  -53.5000      0.4013
  -52.5000      0.4047
  -51.5000      0.4126
  -50.5000      0.4054
  -49.5000      0.4045
  -48.5000      0.4071
  -47.5000      0.4175
  -46.5000      0.4249
  -45.5000      0.4271
  -41.5000      0.4037
  -40.5000      0.4032
  -36.5000      0.4009
  -35.5000      0.4073
  -34.5000      0.4087
  -33.5000      0.4132
  -32.5000      0.4135
  -31.5000      0.4080
  -30.5000      0.4133
  -29.5000      0.4060
  -28.5000      0.4105
  -27.5000      0.4233
  -26.5000      0.4230
  -25.5000      0.4257
  -23.5000      0.4271
  -22.5000      0.4213
   15.5000      0.4794
   16.5000      0.4715
   17.5000      0.4848
   18.5000      0.4873
   19.5000      0.4765
   20.5000      0.4642
   21.5000      0.4653
   22.5000      0.4632
   23.5000      0.4501
   24.5000      0.4476
   25.5000      0.4500
   26.5000      0.4466
   27.5000      0.4632
   28.5000      0.4547
   29.5000      0.4472
   30.5000      0.4595
   31.5000      0.4445
   32.5000      0.4568
   33.5000      0.4675
   34.5000      0.4642
   35.5000      0.4605
   36.5000      0.4564
   37.5000      0.4692
   38.5000      0.4585
   39.5000      0.4567
   41.5000      0.4617
   42.5000      0.4539
   44.5000      0.4733
   45.5000      0.4689
   46.5000      0.4653
   47.5000      0.4663
   48.5000      0.4713
   49.5000      0.4605
   51.5000      0.4628
   52.5000      0.4824
   54.5000      0.4787
   55.5000      0.4765
   56.5000      0.4765
   57.5000      0.4688
   59.5000      0.4827
