Phase  EBF_Simu  CROP_Simu
 -100.0000      0.0218      0.0476
  -99.0000      0.0220      0.0474
  -98.0000      0.0222      0.0472
  -97.0000      0.0224      0.0470
  -96.0000      0.0225      0.0468
  -95.0000      0.0226      0.0466
  -94.0000      0.0227      0.0464
  -93.0000      0.0228      0.0462
  -92.0000      0.0229      0.0461
  -91.0000      0.0230      0.0459
  -90.0000      0.0231      0.0457
  -89.0000      0.0232      0.0455
  -88.0000      0.0233      0.0454
  -87.0000      0.0234      0.0452
  -86.0000      0.0235      0.0451
  -85.0000      0.0235      0.0450
  -84.0000      0.0236      0.0449
  -83.0000      0.0237      0.0447
  -82.0000      0.0238      0.0447
  -81.0000      0.0239      0.0446
  -80.0000      0.0241      0.0445
  -79.0000      0.0242      0.0444
  -78.0000      0.0243      0.0444
  -77.0000      0.0244      0.0443
  -76.0000      0.0245      0.0443
  -75.0000      0.0247      0.0442
  -74.0000      0.0248      0.0442
  -73.0000      0.0250      0.0442
  -72.0000      0.0251      0.0442
  -71.0000      0.0253      0.0442
  -70.0000      0.0254      0.0442
  -69.0000      0.0256      0.0443
  -68.0000      0.0258      0.0443
  -67.0000      0.0260      0.0443
  -66.0000      0.0262      0.0444
  -65.0000      0.0264      0.0444
  -64.0000      0.0266      0.0445
  -63.0000      0.0268      0.0446
  -62.0000      0.0270      0.0447
  -61.0000      0.0272      0.0448
  -60.0000      0.0274      0.0448
  -59.0000      0.0277      0.0450
  -58.0000      0.0279      0.0451
  -57.0000      0.0282      0.0452
  -56.0000      0.0286      0.0454
  -55.0000      0.0289      0.0455
  -54.0000      0.0293      0.0457
  -53.0000      0.0296      0.0459
  -52.0000      0.0300      0.0461
  -51.0000      0.0304      0.0463
  -50.0000      0.0308      0.0465
  -49.0000      0.0312      0.0467
  -48.0000      0.0316      0.0469
  -47.0000      0.0321      0.0471
  -46.0000      0.0325      0.0473
  -45.0000      0.0330      0.0475
  -44.0000      0.0334      0.0478
  -43.0000      0.0339      0.0480
  -42.0000      0.0344      0.0483
  -41.0000      0.0349      0.0485
  -40.0000      0.0354      0.0488
  -39.0000      0.0359      0.0490
  -38.0000      0.0364      0.0493
  -37.0000      0.0369      0.0496
  -36.0000      0.0375      0.0498
  -35.0000      0.0380      0.0501
  -34.0000      0.0386      0.0504
  -33.0000      0.0391      0.0507
  -32.0000      0.0397      0.0510
  -31.0000      0.0403      0.0513
  -30.0000      0.0409      0.0516
  -29.0000      0.0415      0.0519
  -28.0000      0.0421      0.0522
  -27.0000      0.0427      0.0525
  -26.0000      0.0433      0.0528
  -25.0000      0.0440      0.0531
  -24.0000      0.0446      0.0534
  -23.0000      0.0453      0.0538
  -22.0000      0.0459      0.0541
  -21.0000      0.0466      0.0544
  -20.0000      0.0473      0.0547
  -19.0000      0.0480      0.0550
  -18.0000      0.0487      0.0554
  -17.0000      0.0495      0.0557
  -16.0000      0.0503      0.0560
  -15.0000      0.0511      0.0564
  -14.0000      0.0519      0.0567
  -13.0000      0.0528      0.0570
  -12.0000      0.0538      0.0574
  -11.0000      0.0548      0.0577
  -10.0000      0.0560      0.0581
   -9.0000      0.0573      0.0584
   -8.0000      0.0588      0.0588
   -7.0000      0.0606      0.0592
   -6.0000      0.0628      0.0596
   -5.0000      0.0654      0.0600
   -4.0000      0.0687      0.0606
   -3.0000      0.0729      0.0613
   -2.0000      0.0783      0.0622
   -1.0000      0.0852      0.0634
    0.0000      0.0944      0.0653
    1.0000      0.0864      0.0639
    2.0000      0.0804      0.0630
    3.0000      0.0759      0.0626
    4.0000      0.0725      0.0623
    5.0000      0.0700      0.0622
    6.0000      0.0680      0.0621
    7.0000      0.0666      0.0621
    8.0000      0.0654      0.0621
    9.0000      0.0646      0.0621
   10.0000      0.0639      0.0622
   11.0000      0.0634      0.0622
   12.0000      0.0629      0.0622
   13.0000      0.0626      0.0623
   14.0000      0.0622      0.0623
   15.0000      0.0620      0.0624
   16.0000      0.0617      0.0624
   17.0000      0.0615      0.0624
   18.0000      0.0613      0.0624
   19.0000      0.0611      0.0625
   20.0000      0.0609      0.0625
   21.0000      0.0607      0.0625
   22.0000      0.0605      0.0625
   23.0000      0.0602      0.0626
   24.0000      0.0600      0.0626
   25.0000      0.0598      0.0626
   26.0000      0.0596      0.0626
   27.0000      0.0594      0.0626
   28.0000      0.0592      0.0626
   29.0000      0.0590      0.0627
   30.0000      0.0588      0.0627
   31.0000      0.0587      0.0627
   32.0000      0.0586      0.0627
   33.0000      0.0585      0.0628
   34.0000      0.0586      0.0628
   35.0000      0.0589      0.0628
   36.0000      0.0593      0.0629
   37.0000      0.0598      0.0630
   38.0000      0.0602      0.0631
   39.0000      0.0607      0.0632
   40.0000      0.0612      0.0634
