Phase  Observation
 -105.5000      0.0244
 -104.5000      0.0238
 -101.5000      0.0251
 -100.5000      0.0237
  -96.5000      0.0231
  -95.5000      0.0227
  -94.5000      0.0228
  -92.5000      0.0238
  -90.5000      0.0236
  -83.5000      0.0242
  -81.5000      0.0214
  -80.5000      0.0219
  -79.5000      0.0224
  -78.5000      0.0234
  -76.5000      0.0229
  -75.5000      0.0231
  -66.5000      0.0264
  -63.5000      0.0257
  -62.5000      0.0264
  -61.5000      0.0253
  -60.5000      0.0267
  -59.5000      0.0267
  -57.5000      0.0272
  -56.5000      0.0278
  -42.5000      0.0317
  -41.5000      0.0321
  -40.5000      0.0346
  -39.5000      0.0357
  -38.5000      0.0336
  -37.5000      0.0341
  -36.5000      0.0354
  -35.5000      0.0359
  -34.5000      0.0364
  -32.5000      0.0386
  -24.5000      0.0459
  -23.5000      0.0477
  -22.5000      0.0495
  -21.5000      0.0500
  -20.5000      0.0499
  -19.5000      0.0493
  -18.5000      0.0534
  -17.5000      0.0550
  -16.5000      0.0552
  -15.5000      0.0565
  -14.5000      0.0565
  -13.5000      0.0578
  -12.5000      0.0610
  -11.5000      0.0631
  -10.5000      0.0651
   -9.5000      0.0653
   16.5000      0.0633
   17.5000      0.0607
   18.5000      0.0593
   19.5000      0.0586
   20.5000      0.0582
   21.5000      0.0558
   22.5000      0.0555
   23.5000      0.0543
   24.5000      0.0514
   25.5000      0.0506
   28.5000      0.0553
   29.5000      0.0538
   30.5000      0.0522
   31.5000      0.0530
   32.5000      0.0520
   33.5000      0.0496
   38.5000      0.0519
   39.5000      0.0498
   40.5000      0.0499
   41.5000      0.0467
