Phase  Observation
 -105.5000      0.0117
 -104.5000      0.0114
 -101.5000      0.0112
  -96.5000      0.0110
  -95.5000      0.0113
  -94.5000      0.0115
  -91.5000      0.0118
  -90.5000      0.0111
  -81.5000      0.0119
  -80.5000      0.0113
  -79.5000      0.0120
  -78.5000      0.0121
  -76.5000      0.0115
  -75.5000      0.0113
  -66.5000      0.0140
  -63.5000      0.0137
  -62.5000      0.0134
  -61.5000      0.0126
  -60.5000      0.0141
  -59.5000      0.0130
  -57.5000      0.0135
  -56.5000      0.0133
  -45.5000      0.0151
  -42.5000      0.0146
  -41.5000      0.0145
  -40.5000      0.0170
  -39.5000      0.0172
  -38.5000      0.0147
  -37.5000      0.0160
  -36.5000      0.0179
  -35.5000      0.0170
  -34.5000      0.0165
  -32.5000      0.0173
  -31.5000      0.0172
  -30.5000      0.0175
  -24.5000      0.0217
  -23.5000      0.0241
  -22.5000      0.0255
  -21.5000      0.0247
  -20.5000      0.0232
  -19.5000      0.0238
  -18.5000      0.0271
  -17.5000      0.0277
  -16.5000      0.0266
  -15.5000      0.0270
  -14.5000      0.0260
  -13.5000      0.0270
  -12.5000      0.0294
  -11.5000      0.0309
   -9.5000      0.0314
   16.5000      0.0309
   17.5000      0.0289
   18.5000      0.0282
   19.5000      0.0283
   20.5000      0.0297
   21.5000      0.0268
   22.5000      0.0277
   23.5000      0.0279
   24.5000      0.0251
   25.5000      0.0247
   26.5000      0.0284
   28.5000      0.0288
   29.5000      0.0279
   30.5000      0.0265
   31.5000      0.0282
   32.5000      0.0282
   33.5000      0.0258
   38.5000      0.0286
   39.5000      0.0269
   40.5000      0.0283
   43.5000      0.0268
