Phase  EBF_Simu  CROP_Simu
 -100.0000      0.0110      0.0223
  -99.0000      0.0110      0.0227
  -98.0000      0.0110      0.0230
  -97.0000      0.0111      0.0233
  -96.0000      0.0111      0.0235
  -95.0000      0.0111      0.0237
  -94.0000      0.0111      0.0240
  -93.0000      0.0111      0.0242
  -92.0000      0.0111      0.0243
  -91.0000      0.0111      0.0245
  -90.0000      0.0111      0.0246
  -89.0000      0.0112      0.0248
  -88.0000      0.0112      0.0249
  -87.0000      0.0112      0.0250
  -86.0000      0.0112      0.0252
  -85.0000      0.0112      0.0253
  -84.0000      0.0112      0.0254
  -83.0000      0.0113      0.0255
  -82.0000      0.0113      0.0256
  -81.0000      0.0113      0.0256
  -80.0000      0.0114      0.0257
  -79.0000      0.0114      0.0258
  -78.0000      0.0115      0.0259
  -77.0000      0.0115      0.0260
  -76.0000      0.0116      0.0260
  -75.0000      0.0116      0.0261
  -74.0000      0.0117      0.0262
  -73.0000      0.0117      0.0263
  -72.0000      0.0118      0.0263
  -71.0000      0.0119      0.0264
  -70.0000      0.0120      0.0264
  -69.0000      0.0120      0.0265
  -68.0000      0.0121      0.0266
  -67.0000      0.0122      0.0266
  -66.0000      0.0123      0.0267
  -65.0000      0.0124      0.0268
  -64.0000      0.0125      0.0268
  -63.0000      0.0126      0.0269
  -62.0000      0.0127      0.0269
  -61.0000      0.0128      0.0270
  -60.0000      0.0129      0.0270
  -59.0000      0.0131      0.0271
  -58.0000      0.0132      0.0272
  -57.0000      0.0134      0.0273
  -56.0000      0.0135      0.0274
  -55.0000      0.0137      0.0274
  -54.0000      0.0139      0.0275
  -53.0000      0.0141      0.0276
  -52.0000      0.0143      0.0277
  -51.0000      0.0145      0.0278
  -50.0000      0.0147      0.0279
  -49.0000      0.0149      0.0280
  -48.0000      0.0151      0.0281
  -47.0000      0.0154      0.0282
  -46.0000      0.0156      0.0283
  -45.0000      0.0158      0.0284
  -44.0000      0.0161      0.0286
  -43.0000      0.0163      0.0287
  -42.0000      0.0166      0.0288
  -41.0000      0.0168      0.0289
  -40.0000      0.0171      0.0290
  -39.0000      0.0174      0.0291
  -38.0000      0.0176      0.0292
  -37.0000      0.0179      0.0294
  -36.0000      0.0182      0.0295
  -35.0000      0.0185      0.0296
  -34.0000      0.0188      0.0297
  -33.0000      0.0191      0.0299
  -32.0000      0.0194      0.0300
  -31.0000      0.0197      0.0301
  -30.0000      0.0200      0.0302
  -29.0000      0.0203      0.0304
  -28.0000      0.0206      0.0305
  -27.0000      0.0210      0.0306
  -26.0000      0.0213      0.0308
  -25.0000      0.0216      0.0309
  -24.0000      0.0220      0.0310
  -23.0000      0.0223      0.0312
  -22.0000      0.0227      0.0313
  -21.0000      0.0230      0.0314
  -20.0000      0.0234      0.0316
  -19.0000      0.0238      0.0317
  -18.0000      0.0241      0.0319
  -17.0000      0.0245      0.0320
  -16.0000      0.0249      0.0322
  -15.0000      0.0254      0.0323
  -14.0000      0.0258      0.0325
  -13.0000      0.0263      0.0326
  -12.0000      0.0268      0.0328
  -11.0000      0.0274      0.0329
  -10.0000      0.0280      0.0331
   -9.0000      0.0287      0.0333
   -8.0000      0.0296      0.0334
   -7.0000      0.0305      0.0336
   -6.0000      0.0317      0.0338
   -5.0000      0.0332      0.0339
   -4.0000      0.0351      0.0341
   -3.0000      0.0375      0.0344
   -2.0000      0.0405      0.0346
   -1.0000      0.0445      0.0349
    0.0000      0.0497      0.0354
    1.0000      0.0451      0.0351
    2.0000      0.0417      0.0349
    3.0000      0.0391      0.0347
    4.0000      0.0372      0.0346
    5.0000      0.0358      0.0345
    6.0000      0.0347      0.0344
    7.0000      0.0339      0.0343
    8.0000      0.0332      0.0342
    9.0000      0.0328      0.0341
   10.0000      0.0324      0.0340
   11.0000      0.0321      0.0339
   12.0000      0.0319      0.0339
   13.0000      0.0317      0.0338
   14.0000      0.0316      0.0337
   15.0000      0.0315      0.0336
   16.0000      0.0314      0.0335
   17.0000      0.0313      0.0334
   18.0000      0.0312      0.0333
   19.0000      0.0311      0.0332
   20.0000      0.0311      0.0330
   21.0000      0.0310      0.0329
   22.0000      0.0309      0.0328
   23.0000      0.0308      0.0327
   24.0000      0.0308      0.0326
   25.0000      0.0307      0.0324
   26.0000      0.0306      0.0323
   27.0000      0.0306      0.0322
   28.0000      0.0305      0.0320
   29.0000      0.0304      0.0319
   30.0000      0.0304      0.0318
   31.0000      0.0303      0.0316
   32.0000      0.0303      0.0315
   33.0000      0.0303      0.0313
   34.0000      0.0304      0.0312
   35.0000      0.0306      0.0311
   36.0000      0.0308      0.0309
   37.0000      0.0311      0.0308
   38.0000      0.0314      0.0307
   39.0000      0.0316      0.0306
   40.0000      0.0319      0.0306
