Phase  Observation
 -105.5000      0.0138
 -104.5000      0.0142
 -102.5000      0.0139
  -96.5000      0.0135
  -95.5000      0.0148
  -94.5000      0.0134
  -91.5000      0.0158
  -83.5000      0.0088
  -80.5000      0.0084
  -79.5000      0.0095
  -78.5000      0.0109
  -76.5000      0.0108
  -75.5000      0.0106
  -66.5000      0.0130
  -65.5000      0.0122
  -64.5000      0.0119
  -63.5000      0.0120
  -62.5000      0.0118
  -60.5000      0.0125
  -59.5000      0.0130
  -57.5000      0.0130
  -56.5000      0.0139
  -43.5000      0.0140
  -42.5000      0.0149
  -41.5000      0.0152
  -40.5000      0.0166
  -39.5000      0.0171
  -38.5000      0.0152
  -37.5000      0.0145
  -36.5000      0.0149
  -35.5000      0.0154
  -34.5000      0.0163
  -29.5000      0.0162
  -27.5000      0.0161
  -26.5000      0.0164
  -25.5000      0.0163
  -24.5000      0.0162
  -23.5000      0.0165
  -22.5000      0.0168
  -21.5000      0.0170
  -20.5000      0.0167
  -19.5000      0.0169
  -18.5000      0.0188
  -17.5000      0.0193
  -16.5000      0.0190
  -15.5000      0.0193
  -14.5000      0.0192
  -13.5000      0.0207
  -12.5000      0.0224
  -11.5000      0.0227
  -10.5000      0.0237
   -9.5000      0.0236
   16.5000      0.0244
   17.5000      0.0238
   18.5000      0.0214
   19.5000      0.0211
   20.5000      0.0210
   21.5000      0.0194
   22.5000      0.0192
   23.5000      0.0186
   24.5000      0.0175
   25.5000      0.0177
   26.5000      0.0186
   28.5000      0.0188
   31.5000      0.0201
   32.5000      0.0198
   33.5000      0.0198
   34.5000      0.0201
   36.5000      0.0210
   39.5000      0.0203
   40.5000      0.0168
   42.5000      0.0162
   43.5000      0.0172
