Phase  Observation
   30.9022      0.0430
   26.5871      0.0440
   22.0106      0.0440
   17.9082      0.0430
   15.5722      0.0480
   17.0350      0.0420
   22.2664      0.0360
  -29.6429      0.0370
  -37.6769      0.0330
  -45.6720      0.0340
  -53.1039      0.0380
  -59.8655      0.0400
  -65.8514      0.0420
  -71.0253      0.0390
  -52.1521      0.0500
  -51.1640      0.0370
  -50.4497      0.0350
  -50.3780      0.0360
  -51.0873      0.0370
  -53.1178      0.0330
  -56.4329      0.0310
  -60.8550      0.0310
  -66.0526      0.0260
  -71.5670      0.0310
  -76.9722      0.0290
  -81.8829      0.0280
  -86.1997      0.0320
  -90.1050      0.0330
  -47.4199      0.0510
  -46.1484      0.0460
  -45.4160      0.0440
  -45.5096      0.0390
  -46.8882      0.0350
  -50.0420      0.0320
  -54.8302      0.0320
  -60.7472      0.0300
  -67.2138      0.0290
  -73.4729      0.0330
  -79.2994      0.0360
  -84.3380      0.0400
  -88.8078      0.0450
  -92.6262      0.0490
   36.6381      0.0390
   32.9509      0.0400
  -29.1417      0.0370
  -25.6162      0.0370
  -23.6304      0.0340
  -25.1558      0.0320
  -30.9221      0.0300
  -39.6057      0.0280
  -49.4542      0.0270
  -58.8526      0.0240
  -67.3190      0.0240
  -74.4554      0.0230
  -80.4718      0.0250
  -85.4647      0.0270
   43.9180      0.0450
  -42.1120      0.0440
  -40.5338      0.0410
  -39.6310      0.0380
  -40.0264      0.0350
  -42.3059      0.0330
  -46.8558      0.0300
  -53.2832      0.0300
  -60.7582      0.0260
  -68.1801      0.0290
  -75.1215      0.0290
  -81.2070      0.0320
  -86.4257      0.0340
  -90.8415      0.0390
   25.4125      0.0680
   21.0080      0.0670
   16.4465      0.0660
   12.9172      0.0640
   12.5694      0.0640
   16.9954      0.0580
  -24.1256      0.0510
  -32.5137      0.0500
  -41.0526      0.0430
  -49.3558      0.0440
  -56.8804      0.0430
  -63.6729      0.0420
  -69.7026      0.0440
  -74.8971      0.0450
   26.5713      0.0660
   21.2871      0.0640
   15.1121      0.0640
    7.7852      0.0630
    0.7665      0.0770
  -10.3534      0.0490
  -20.8654      0.0440
  -31.8110      0.0400
  -42.4833      0.0350
  -52.2629      0.0310
  -60.8608      0.0340
  -68.3484      0.0390
  -74.6304      0.0350
  -80.0152      0.0410
   31.6560      0.0520
   27.4623      0.0530
   22.8523      0.0490
  -18.4810      0.0470
  -16.3067      0.0450
  -19.2393      0.0390
  -27.0331      0.0390
  -37.2345      0.0330
  -47.9057      0.0300
  -57.9312      0.0300
  -66.6699      0.0280
  -74.0428      0.0310
  -80.2447      0.0330
  -85.3414      0.0360
