Phase  EBF_Simu  CROP_Simu
 -100.0000      0.0218      0.0410
  -99.0000      0.0213      0.0403
  -98.0000      0.0208      0.0395
  -97.0000      0.0203      0.0388
  -96.0000      0.0199      0.0381
  -95.0000      0.0194      0.0375
  -94.0000      0.0190      0.0369
  -93.0000      0.0187      0.0363
  -92.0000      0.0183      0.0358
  -91.0000      0.0180      0.0352
  -90.0000      0.0176      0.0348
  -89.0000      0.0173      0.0343
  -88.0000      0.0170      0.0339
  -87.0000      0.0168      0.0335
  -86.0000      0.0165      0.0331
  -85.0000      0.0163      0.0328
  -84.0000      0.0161      0.0325
  -83.0000      0.0159      0.0322
  -82.0000      0.0157      0.0319
  -81.0000      0.0156      0.0317
  -80.0000      0.0155      0.0314
  -79.0000      0.0153      0.0312
  -78.0000      0.0152      0.0311
  -77.0000      0.0151      0.0309
  -76.0000      0.0150      0.0308
  -75.0000      0.0150      0.0307
  -74.0000      0.0149      0.0306
  -73.0000      0.0149      0.0305
  -72.0000      0.0149      0.0304
  -71.0000      0.0149      0.0304
  -70.0000      0.0149      0.0303
  -69.0000      0.0149      0.0303
  -68.0000      0.0149      0.0303
  -67.0000      0.0149      0.0303
  -66.0000      0.0150      0.0304
  -65.0000      0.0150      0.0304
  -64.0000      0.0151      0.0305
  -63.0000      0.0152      0.0306
  -62.0000      0.0153      0.0307
  -61.0000      0.0154      0.0308
  -60.0000      0.0155      0.0309
  -59.0000      0.0156      0.0310
  -58.0000      0.0158      0.0312
  -57.0000      0.0159      0.0313
  -56.0000      0.0161      0.0315
  -55.0000      0.0162      0.0317
  -54.0000      0.0164      0.0318
  -53.0000      0.0166      0.0320
  -52.0000      0.0168      0.0323
  -51.0000      0.0170      0.0325
  -50.0000      0.0172      0.0327
  -49.0000      0.0175      0.0330
  -48.0000      0.0177      0.0332
  -47.0000      0.0179      0.0335
  -46.0000      0.0182      0.0337
  -45.0000      0.0184      0.0340
  -44.0000      0.0187      0.0343
  -43.0000      0.0190      0.0346
  -42.0000      0.0192      0.0349
  -41.0000      0.0195      0.0352
  -40.0000      0.0198      0.0355
  -39.0000      0.0201      0.0358
  -38.0000      0.0204      0.0362
  -37.0000      0.0207      0.0365
  -36.0000      0.0210      0.0369
  -35.0000      0.0213      0.0372
  -34.0000      0.0216      0.0376
  -33.0000      0.0220      0.0379
  -32.0000      0.0223      0.0383
  -31.0000      0.0227      0.0387
  -30.0000      0.0230      0.0391
  -29.0000      0.0233      0.0395
  -28.0000      0.0237      0.0399
  -27.0000      0.0241      0.0403
  -26.0000      0.0244      0.0407
  -25.0000      0.0248      0.0411
  -24.0000      0.0252      0.0415
  -23.0000      0.0256      0.0419
  -22.0000      0.0259      0.0423
  -21.0000      0.0263      0.0427
  -20.0000      0.0267      0.0431
  -19.0000      0.0272      0.0436
  -18.0000      0.0276      0.0440
  -17.0000      0.0280      0.0444
  -16.0000      0.0285      0.0448
  -15.0000      0.0290      0.0453
  -14.0000      0.0295      0.0457
  -13.0000      0.0301      0.0462
  -12.0000      0.0307      0.0466
  -11.0000      0.0315      0.0471
  -10.0000      0.0323      0.0476
   -9.0000      0.0333      0.0482
   -8.0000      0.0345      0.0488
   -7.0000      0.0361      0.0496
   -6.0000      0.0380      0.0506
   -5.0000      0.0404      0.0521
   -4.0000      0.0435      0.0542
   -3.0000      0.0476      0.0573
   -2.0000      0.0530      0.0623
   -1.0000      0.0602      0.0703
    0.0000      0.0697      0.0833
    1.0000      0.0612      0.0714
    2.0000      0.0549      0.0642
    3.0000      0.0502      0.0600
    4.0000      0.0468      0.0576
    5.0000      0.0442      0.0563
    6.0000      0.0424      0.0556
    7.0000      0.0411      0.0553
    8.0000      0.0402      0.0553
    9.0000      0.0396      0.0555
   10.0000      0.0392      0.0557
   11.0000      0.0389      0.0560
   12.0000      0.0388      0.0563
   13.0000      0.0388      0.0566
   14.0000      0.0388      0.0570
   15.0000      0.0389      0.0574
   16.0000      0.0390      0.0577
   17.0000      0.0392      0.0581
   18.0000      0.0394      0.0585
   19.0000      0.0396      0.0589
   20.0000      0.0398      0.0593
   21.0000      0.0400      0.0597
   22.0000      0.0403      0.0601
   23.0000      0.0405      0.0605
   24.0000      0.0408      0.0609
   25.0000      0.0410      0.0614
   26.0000      0.0413      0.0618
   27.0000      0.0416      0.0623
   28.0000      0.0419      0.0627
   29.0000      0.0422      0.0632
   30.0000      0.0425      0.0637
   31.0000      0.0428      0.0642
   32.0000      0.0432      0.0647
   33.0000      0.0435      0.0652
   34.0000      0.0439      0.0658
   35.0000      0.0443      0.0664
   36.0000      0.0448      0.0670
   37.0000      0.0453      0.0676
   38.0000      0.0458      0.0682
   39.0000      0.0463      0.0689
   40.0000      0.0469      0.0696
