Phase  Observation
   30.9022      0.5250
   26.5871      0.5380
   22.0106      0.5340
   17.9082      0.5280
   15.5722      0.5360
   17.0350      0.5100
   22.2664      0.5000
  -29.6429      0.4590
  -37.6769      0.4630
  -45.6720      0.4510
  -53.1039      0.4320
  -59.8655      0.4460
  -65.8514      0.4270
  -71.0253      0.4220
  -52.1521      0.4250
  -51.1640      0.4350
  -50.4497      0.4310
  -50.3780      0.4140
  -51.0873      0.4060
  -53.1178      0.4030
  -56.4329      0.3880
  -60.8550      0.3780
  -66.0526      0.3830
  -71.5670      0.3710
  -76.9722      0.3820
  -81.8829      0.3970
  -86.1997      0.4050
  -90.1050      0.4080
  -47.4199      0.4310
  -46.1484      0.4310
  -45.4160      0.4190
  -45.5096      0.4190
  -46.8882      0.3930
  -50.0420      0.3840
  -54.8302      0.3640
  -60.7472      0.3730
  -67.2138      0.3810
  -73.4729      0.3660
  -79.2994      0.3700
  -84.3380      0.3770
  -88.8078      0.3920
  -92.6262      0.3870
   36.6381      0.4490
   32.9509      0.4550
  -29.1417      0.4530
  -25.6162      0.4330
  -23.6304      0.4370
  -25.1558      0.4150
  -30.9221      0.3900
  -39.6057      0.3780
  -49.4542      0.3590
  -58.8526      0.3550
  -67.3190      0.3740
  -74.4554      0.3740
  -80.4718      0.3570
  -85.4647      0.3900
   43.9180      0.4350
  -42.1120      0.4250
  -40.5338      0.4090
  -39.6310      0.4030
  -40.0264      0.4010
  -42.3059      0.3810
  -46.8558      0.3690
  -53.2832      0.3470
  -60.7582      0.3570
  -68.1801      0.3520
  -75.1215      0.3440
  -81.2070      0.3640
  -86.4257      0.3610
  -90.8415      0.3770
   25.4125      0.5260
   21.0080      0.5160
   16.4465      0.5230
   12.9172      0.5280
   12.5694      0.5240
   16.9954      0.4820
  -24.1256      0.4630
  -32.5137      0.4240
  -41.0526      0.4160
  -49.3558      0.3990
  -56.8804      0.4040
  -63.6729      0.4010
  -69.7026      0.3900
  -74.8971      0.3840
   26.5713      0.4990
   21.2871      0.5120
   15.1121      0.5170
    7.7852      0.5280
    0.7665      0.5690
  -10.3534      0.4780
  -20.8654      0.4290
  -31.8110      0.4100
  -42.4833      0.4040
  -52.2629      0.3910
  -60.8608      0.3910
  -68.3484      0.3630
  -74.6304      0.3920
  -80.0152      0.3920
   31.6560      0.4720
   27.4623      0.4670
   22.8523      0.4630
  -18.4810      0.4670
  -16.3067      0.4480
  -19.2393      0.4220
  -27.0331      0.3880
  -37.2345      0.3690
  -47.9057      0.3650
  -57.9312      0.3630
  -66.6699      0.3530
  -74.0428      0.3460
  -80.2447      0.3710
  -85.3414      0.3700
