Phase  Observation
  -91.7032      0.0260
  -86.2520      0.0180
  -79.5829      0.0170
  -71.7148      0.0160
  -62.3721      0.0140
  -51.6072      0.0130
  -39.9384      0.0210
  -28.4268      0.0210
  -18.2712      0.0240
  -11.5061      0.0300
   11.2106      0.0350
   15.3063      0.0370
   20.1255      0.0320
   24.5489      0.0360
  -97.5640      0.0250
  -93.1629      0.0210
  -87.8990      0.0200
  -81.6946      0.0150
  -74.5606      0.0120
  -66.3418      0.0160
  -57.5360      0.0160
  -48.7458      0.0180
  -41.1366      0.0210
  -35.5423      0.0240
  -32.4758      0.0270
  -31.6513      0.0290
   32.4645      0.0310
   34.0214      0.0320
  -97.7263      0.0240
  -93.6741      0.0230
  -89.0773      0.0180
  -83.9649      0.0170
  -78.3374      0.0140
  -72.4053      0.0140
  -66.3205      0.0150
  -60.5978      0.0180
  -55.6206      0.0180
  -51.7167      0.0180
  -48.9875      0.0200
  -47.3471      0.0220
  -46.6509      0.0230
   46.6006      0.0230
  -91.1703      0.0250
  -86.0311      0.0210
  -79.8383      0.0180
  -72.5222      0.0170
  -63.8150      0.0160
  -53.7773      0.0170
  -42.6465      0.0180
  -30.9738      0.0230
  -19.5584      0.0280
   -9.1578      0.0350
    0.2170      0.0530
    7.7382      0.0450
   14.3084      0.0420
   19.8092      0.0420
  -93.6913      0.0360
  -88.7146      0.0250
  -82.7813      0.0210
  -75.5931      0.0080
  -67.2216      0.0160
  -57.4958      0.0120
  -47.0716      0.0160
  -36.8742      0.0160
  -28.3341      0.0230
  -23.0248      0.0260
  -21.6004      0.0300
   23.2174      0.0260
   26.2052      0.0310
   29.4171      0.0370
  -94.7085      0.0150
  -90.1053      0.0140
  -84.8367      0.0130
  -78.7789      0.0130
  -72.0661      0.0130
  -64.9308      0.0130
  -57.7958      0.0130
  -51.3136      0.0160
  -46.1660      0.0180
  -42.7047      0.0190
  -40.9161      0.0220
  -40.4382      0.0230
   40.8986      0.0260
   41.9518      0.0260
  -85.8815      0.0240
  -80.3738      0.0210
  -73.8754      0.0190
  -66.2965      0.0190
  -57.5892      0.0200
  -48.0256      0.0210
  -37.8407      0.0220
  -27.7015      0.0270
  -18.5148      0.0320
   11.5638      0.0370
    9.5915      0.0420
   12.7889      0.0420
   17.4066      0.0410
   21.9110      0.0410
  -88.9357      0.0190
  -83.2803      0.0140
  -76.6042      0.0140
  -68.5130      0.0120
  -58.9741      0.0120
  -48.2011      0.0130
  -36.5597      0.0170
  -25.1396      0.0220
  -15.6048      0.0270
  -10.6377      0.0310
   12.6891      0.0320
   17.6025      0.0330
   22.6272      0.0320
  -91.6629      0.0170
  -86.6732      0.0200
  -80.7868      0.0030
  -65.9127      0.0160
  -57.3251      0.0130
  -48.7990      0.0200
  -41.3056      0.0180
  -35.8409      0.0230
  -33.0136      0.0250
  -32.5049      0.0290
  -33.5458      0.0330
   35.4672      0.0380
  -96.6104      0.0260
  -92.8212      0.0190
  -88.5483      0.0180
  -83.6697      0.0190
  -78.3661      0.0170
  -72.6560      0.0160
  -66.8394      0.0150
  -61.4055      0.0180
  -56.5519      0.0180
  -52.7788      0.0210
  -50.2034      0.0230
  -48.6668      0.0260
  -48.1220      0.0260
  -48.1327      0.0290
  -82.9515      0.0180
  -77.5822      0.0170
  -71.4307      0.0160
  -64.5000      0.0160
  -56.8355      0.0170
  -48.4763      0.0190
  -39.8785      0.0230
  -31.5580      0.0270
   24.2778      0.0300
   19.0886      0.0350
   16.7779      0.0370
   17.4722      0.0370
   20.0739      0.0380
   23.4102      0.0400
  -85.9685      0.0250
  -80.3186      0.0220
  -73.7007      0.0190
  -65.7609      0.0170
  -56.4281      0.0170
  -45.8730      0.0190
  -34.4506      0.0220
  -22.7999      0.0260
  -11.7961      0.0330
    1.9204      0.0450
    6.5995      0.0430
   13.7899      0.0410
   19.8760      0.0400
   24.8992      0.0420
  -88.0761      0.0190
  -82.5657      0.0170
  -76.0218      0.0150
  -68.2413      0.0130
  -59.1659      0.0100
  -49.1640      0.0140
  -39.0389      0.0180
  -30.2021      0.0220
  -24.3595      0.0240
  -22.5502      0.0270
  -24.1052      0.0290
   27.3086      0.0300
   30.8546      0.0310
  -94.8979      0.0380
  -90.8289      0.0320
  -86.2104      0.0280
  -80.9123      0.0230
  -74.9001      0.0220
  -68.2838      0.0210
  -61.4349      0.0200
  -54.8908      0.0210
  -49.3359      0.0230
  -45.3403      0.0240
  -43.0768      0.0260
  -42.2907      0.0290
  -42.6520      0.0320
   43.6306      0.0310
