Phase  Observation
  -91.7032      0.0190
  -86.2520      0.0180
  -79.5829      0.0170
  -71.7148      0.0170
  -62.3721      0.0160
  -51.6072      0.0160
  -39.9384      0.0210
  -28.4268      0.0220
  -18.2712      0.0280
  -11.5061      0.0340
   11.2106      0.0380
   15.3063      0.0390
   20.1255      0.0380
   24.5489      0.0430
  -97.5640      0.0210
  -93.1629      0.0200
  -87.8990      0.0170
  -81.6946      0.0110
  -74.5606      0.0110
  -66.3418      0.0170
  -57.5360      0.0180
  -48.7458      0.0200
  -41.1366      0.0220
  -35.5423      0.0250
  -32.4758      0.0280
  -31.6513      0.0290
   32.4645      0.0320
   34.0214      0.0320
  -97.7263      0.0230
  -93.6741      0.0180
  -89.0773      0.0180
  -83.9649      0.0170
  -78.3374      0.0160
  -72.4053      0.0160
  -66.3205      0.0180
  -60.5978      0.0180
  -55.6206      0.0200
  -51.7167      0.0210
  -48.9875      0.0230
  -47.3471      0.0240
  -46.6509      0.0260
   46.6006      0.0280
  -91.1703      0.0220
  -86.0311      0.0200
  -79.8383      0.0180
  -72.5222      0.0170
  -63.8150      0.0180
  -53.7773      0.0190
  -42.6465      0.0210
  -30.9738      0.0240
  -19.5584      0.0310
   -9.1578      0.0400
    0.2170      0.0780
    7.7382      0.0470
   14.3084      0.0440
   19.8092      0.0410
  -93.6913      0.0330
  -88.7146      0.0180
  -82.7813      0.0180
  -75.5931      0.0050
  -67.2216      0.0170
  -57.4958      0.0120
  -47.0716      0.0180
  -36.8742      0.0190
  -28.3341      0.0230
  -23.0248      0.0250
  -21.6004      0.0300
   23.2174      0.0340
   26.2052      0.0280
   29.4171      0.0300
  -94.7085      0.0150
  -90.1053      0.0130
  -84.8367      0.0150
  -78.7789      0.0150
  -72.0661      0.0150
  -64.9308      0.0150
  -57.7958      0.0170
  -51.3136      0.0180
  -46.1660      0.0200
  -42.7047      0.0220
  -40.9161      0.0240
  -40.4382      0.0250
   40.8986      0.0280
   41.9518      0.0290
  -85.8815      0.0230
  -80.3738      0.0210
  -73.8754      0.0190
  -66.2965      0.0190
  -57.5892      0.0200
  -48.0256      0.0220
  -37.8407      0.0250
  -27.7015      0.0290
  -18.5148      0.0350
   11.5638      0.0420
    9.5915      0.0460
   12.7889      0.0470
   17.4066      0.0440
   21.9110      0.0450
  -88.9357      0.0160
  -83.2803      0.0170
  -76.6042      0.0160
  -68.5130      0.0160
  -58.9741      0.0160
  -48.2011      0.0170
  -36.5597      0.0200
  -25.1396      0.0250
  -15.6048      0.0310
  -10.6377      0.0380
   12.6891      0.0370
   17.6025      0.0350
   22.6272      0.0360
  -91.6629      0.0250
  -86.6732      0.0120
  -80.7868      0.0080
  -65.9127      0.0200
  -57.3251      0.0150
  -48.7990      0.0230
  -41.3056      0.0220
  -35.8409      0.0240
  -33.0136      0.0310
  -32.5049      0.0370
  -33.5458      0.0400
   35.4672      0.0420
  -96.6104      0.0240
  -92.8212      0.0220
  -88.5483      0.0200
  -83.6697      0.0170
  -78.3661      0.0170
  -72.6560      0.0160
  -66.8394      0.0180
  -61.4055      0.0190
  -56.5519      0.0200
  -52.7788      0.0210
  -50.2034      0.0230
  -48.6668      0.0260
  -48.1220      0.0260
  -48.1327      0.0260
  -82.9515      0.0200
  -77.5822      0.0190
  -71.4307      0.0190
  -64.5000      0.0190
  -56.8355      0.0200
  -48.4763      0.0220
  -39.8785      0.0260
  -31.5580      0.0290
   24.2778      0.0320
   19.0886      0.0370
   16.7779      0.0400
   17.4722      0.0410
   20.0739      0.0430
   23.4102      0.0420
  -85.9685      0.0230
  -80.3186      0.0210
  -73.7007      0.0190
  -65.7609      0.0180
  -56.4281      0.0190
  -45.8730      0.0210
  -34.4506      0.0230
  -22.7999      0.0290
  -11.7961      0.0380
    1.9204      0.0560
    6.5995      0.0480
   13.7899      0.0430
   19.8760      0.0380
   24.8992      0.0390
  -88.0761      0.0180
  -82.5657      0.0160
  -76.0218      0.0160
  -68.2413      0.0150
  -59.1659      0.0130
  -49.1640      0.0180
  -39.0389      0.0200
  -30.2021      0.0240
  -24.3595      0.0270
  -22.5502      0.0310
  -24.1052      0.0320
   27.3086      0.0320
   30.8546      0.0320
  -94.8979      0.0300
  -90.8289      0.0260
  -86.2104      0.0230
  -80.9123      0.0220
  -74.9001      0.0200
  -68.2838      0.0200
  -61.4349      0.0210
  -54.8908      0.0210
  -49.3359      0.0220
  -45.3403      0.0240
  -43.0768      0.0250
  -42.2907      0.0280
  -42.6520      0.0300
   43.6306      0.0300
